Date;Time;League;Team1;Team2;Fav;InitLine;InitCf;Scr1;Scr2;Event;C[T];ResFirst;ResSecond;Prof
2022-10-12;08:00;"Чемпионат Новой Зеландии. Дивизион 1. Женщины";"Скорпионс Данидин (жен)";"НЗИС Центурионс (жен)";1;-4.5;1.875;18;15;П1;2.496;23:25;15:25
2022-10-12;10:00;"Чемпионат Индонезии. Женщины";"Банк Ятим (жен)";"ТНИ Аль Джакарта (жен)";2;-4.5;1.95;1;3;"Для 404144183
2022-10-12;12:00;"Киргизия. Кубок Президента";"Билим Бишкек";Аламедин;2;-2.5;2.04;6;6;-3.5;2.344;25:23;25:19
2022-10-12;17:15;"Кубок Польши. Женщины";"ЛТС Легионово (жен)";"БАС (жен)";1;-7;1.91;1;1;П1;2.26;20:25;18:25
2022-10-12;20:00;"Кубок вызова ЕКВ";"Панвита Помград";Тикерит;1;-2.5;1.88;2;;-2;2.59;19:25;20:25
2022-10-12;21:15;"Чемпионат Бразилии до 19 лет. Женщины";"АЕСТ 19 (жен)";"Ремо ПА 19 (жен)";1;-2.5;1.88;9;8;П1;6.55;20:25;13:25
2022-10-12;21:30;"Чемпионат Мира. Женщины";"Сербия (жен)";"США (жен)";2;-2.5;1.915;;2;-2;2.63;25:21;25:20
2022-10-13;19:15;"Чемпионат Украины. Суперлига. Женщины";"Прометей (жен)";"Аланта-ДНУ (жен)";1;-9;1.825;2;;2.5;1.85;22:25;17:25
2022-10-13;19:00;"Чемпионат Иордании. Женщины";"Аль Наср (жен)";"Де Ла Сэлл (жен)";1;-5.5;1.855;3;1;-4.5;2.285;24:26;23:25
2022-10-13;19:30;"Чемпионат Чехии. Региональная лига. Женщины";"Бржевнов (жен)";"Комета Прага (жен)";1;-2.5;1.96;;;П1;2.915;12:25;20:25
2022-10-13;22:15;"Чемпионат Греции. 2-й дивизион";"АС Атлас ДЙ";"АО Нирефс";1;-2.5;1.944;4;4;11.5;1.704;20:25;9:25
2022-10-13;22:15;"Чемпионат Новой Зеландии. Дивизион 1. Женщины";"НЗИС Центурионс (жен)";"Гамильтон Хаскиз А (жен)";2;-2.5;1.984;2;4;-2;2.43;25:19;25:20
2022-10-13;23:00;"Чемпионат Португалии. 2-й дивизион. Женщины";"Маритиму (жен)";"АД Мачико (жен)";2;-2.5;1.83;5;7;П2;3.78;25:23;25:10
2022-10-14;02:00;"Чемпионат Уругвая. Дивизион С. Женщины";"Феникс (жен)";"СиВ (жен)";2;-2.5;1.83;;2;П2;2.275;25:17;25:16
2022-10-14;05:30;"Чемпионат Новой Зеландии. Дивизион 1";"Саут Окленд Орказ";Плаяз;2;-6.5;1.88;1;4;П2;2.336;25:16;25:23
2022-10-14;07:00;"Киргизия. Кубок Президента";ОШМУ;"Билим Бишкек";2;-5.5;1.8;2;5;П2;3.168;25:18;25:21
2022-10-14;09:45;"Чемпионат Новой Зеландии. Дивизион 1";"Пайнс Нельсон";"Пайонир Пантерс";1;-3;1.9;3;2;-2;2.656;23:25;19:25
2022-10-14;11:00;"Киргизия. Кубок Президента. Женщины";Дордой;Ала-Тоо;2;-3;1.885;13;17;П2;4.52;25:20;25:21
2022-10-14;14:00;"Чемпионат Вьетнама. Молодежная лига. Женщины";"Дук Гиянг Ханой жен";"Нган Ханг Конг Тхуонг жен";1;-5;1.79;2;1;-2.5;2.712;18:25;15:25
2022-10-14;16:00;"Товарищеский турнир клубов. Женщины";"Болу Беледийе";"Нилуфер Беледие";1;-2.5;1.9;8;7;3.5;1.488;19:25;21:25
2022-10-14;19:00;"Чемпионат Чехии. Лига 1. Женщины";"Татран Стршешовице";Рудолфов;1;-7.5;1.816;2;1;-4;2.32;18:25;19:25
2022-10-14;20:00;"Чемпионат Боснии и Герцеговины";Любине;"Единство Брчко";1;-2.5;2.015;3;2;-3;2.39;23:25;23:25
2022-10-14;20:00;"Чемпионат Сербии";"Спартак Суботица";Раднички;1;-2.5;1.83;2;;-2;2.35;21:25;21:25
2022-10-14;20:00;"Чемпионат Боснии и Герцеговины. Женщины";"Единство Брчко";"ОК Горадже";2;-6.5;1.936;9;16;П2;3.52;25:23;25:17
2022-10-14;21:30;"Чемпионат Словении. 2-я лига. Женщины";"Олимп Любляна";Лубник;1;-2.5;1.975;10;8;П1;2.688;18:25;18:25
2022-10-14;22:00;"Греция. Региональный Кубок. Женщины";"Дафни Агиос Димитриос";"Неос Маркис";1;-4.5;1.75;3;3;П1;5.4;16:25;16:25
2022-10-14;22:15;"NCAA. Женщины";Финдли;Дэвенпорт;1;-2.5;1.925;4;2;П1;2.336;22:25;19:25
2022-10-14;22:45;"Чемпионат Бразилии до 19 лет. Женщины";Баруэри;"Маккензи МГ";2;-3;1.816;2;4;-2.5;2.384;25:22;25:20
